Order,UID,Barcode,I,year,row,genotype,note,pedigree,field,experiment,sublock,Block,pheno,G,K,DNA,instructions,planting,row length,Plant Number,Germinated plants
1001,22HL_1001,22HL_1001_BGEM-0312-S_BGEM-0312-S,GX,2022,1001,BGEM-0312-S,BGEM_Tall_late,BGEM-0312-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1002,22HL_1002,22HL_1002_BGEM-0245-S_21S0535,GX,2022,1002,BGEM-0245-S,BGEM_Tall_late,21S0535,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1003,22HL_1003,22HL_1003_BGEM-0292-S_BGEM-0292-S,GX,2022,1003,BGEM-0292-S,BGEM_Tall_late,BGEM-0292-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1004,22HL_1004,22HL_1004_BGEM-0075-S_BGEM-0075-S,GX,2022,1004,BGEM-0075-S,BGEM_Tall_late,BGEM-0075-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1005,22HL_1005,22HL_1005_BGEM-0204-N_BGEM-0204-N,GX,2022,1005,BGEM-0204-N,BGEM_Tall_late,BGEM-0204-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1006,22HL_1006,22HL_1006_BGEM-0015-S_BGEM-0015-S,GX,2022,1006,BGEM-0015-S,BGEM_Tall_late,BGEM-0015-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1007,22HL_1007,22HL_1007_BGEM-0166-S_BGEM-0166-S,GX,2022,1007,BGEM-0166-S,BGEM_Tall_late,BGEM-0166-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1008,22HL_1008,22HL_1008_B73_21S0068,GX,2022,1008,B73,BGEM_Tall_late,21S0068,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1009,22HL_1009,22HL_1009_BGEM-0237-N_BGEM-0237-N,GX,2022,1009,BGEM-0237-N,BGEM_Tall_late,BGEM-0237-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1010,22HL_1010,22HL_1010_BGEM-0152-N_BGEM-0152-N,GX,2022,1010,BGEM-0152-N,BGEM_Tall_late,BGEM-0152-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1011,22HL_1011,22HL_1011_BGEM-0103-N_21S0537,GX,2022,1011,BGEM-0103-N,BGEM_Tall_late,21S0537,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1012,22HL_1012,22HL_1012_BGEM-0308-S_BGEM-0308-S,GX,2022,1012,BGEM-0308-S,BGEM_Tall_late,BGEM-0308-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1013,22HL_1013,22HL_1013_BGEM-0231-N_BGEM-0231-N,GX,2022,1013,BGEM-0231-N,BGEM_Tall_late,BGEM-0231-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1014,22HL_1014,22HL_1014_BGEM-0210-N_BGEM-0210-N,GX,2022,1014,BGEM-0210-N,BGEM_Tall_late,BGEM-0210-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1015,22HL_1015,22HL_1015_BGEM-0065-N_BGEM-0065-N,GX,2022,1015,BGEM-0065-N,BGEM_Tall_late,BGEM-0065-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1016,22HL_1016,22HL_1016_MO17_21S0244,GX,2022,1016,MO17,BGEM_Tall_late,21S0244,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1017,22HL_1017,22HL_1017_BGEM-0178-S_BGEM-0178-S,GX,2022,1017,BGEM-0178-S,BGEM_Tall_late,BGEM-0178-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1018,22HL_1018,22HL_1018_BGEM-0106-N_21S0514,GX,2022,1018,BGEM-0106-N,BGEM_Tall_late,21S0514,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1019,22HL_1019,22HL_1019_BGEM-0069-S_BGEM-0069-S,GX,2022,1019,BGEM-0069-S,BGEM_Tall_late,BGEM-0069-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1020,22HL_1020,22HL_1020_BGEM-0043-S_BGEM-0043-S,GX,2022,1020,BGEM-0043-S,BGEM_Tall_late,BGEM-0043-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1021,22HL_1021,22HL_1021_BGEM-0239-N_BGEM-0239-N,GX,2022,1021,BGEM-0239-N,BGEM_Tall_late,BGEM-0239-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1022,22HL_1022,22HL_1022_BGEM-0325-N_BGEM-0325-N,GX,2022,1022,BGEM-0325-N,BGEM_Tall_late,BGEM-0325-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1023,22HL_1023,22HL_1023_BGEM-0290-N_BGEM-0290-N,GX,2022,1023,BGEM-0290-N,BGEM_Tall_late,BGEM-0290-N,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1024,22HL_1024,22HL_1024_B73_21S0068,GX,2022,1024,B73,BGEM_Tall_late,21S0068,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
1025,22HL_1025,22HL_1025_BGEM-0165-S_BGEM-0165-S,GX,2022,1025,BGEM-0165-S,BGEM_Tall_late,BGEM-0165-S,Havelock,HN,sb1,BK1,yes,,20,,Open pollination,,15 FT,,
